,year,season,co2avg
0,2006,q1,118.10882352941175
1,2006,q2,58.28333333333334
2,2007,q1,89.33266666666665
3,2007,q2,44.1074074074074
4,2008,q1,107.19409090909093
5,2008,q2,34.14658536585367
6,2009,q1,88.02225000000001
7,2009,q2,30.415135135135138
8,2010,q1,68.19777777777779
9,2010,q2,67.602
10,2011,q1,214.30133333333333
11,2012,q1,122.16176470588238
12,2012,q2,60.395
13,2013,q1,147.92541666666665
14,2013,q2,84.735
