year,plot,treatment,aphful,aphpic,aphrud,camnov,campen,forase,forneo,forrub,forsubi,forsub,lasali,lasumb,mryame,myrpun,steimp
2009,13,4,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0
2009,14,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2009,15,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0
2009,16,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,17,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,18,4,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0
2009,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,21,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,23,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,24,1,0,31,0,0,0,0,0,0,0,0,0,2,0,0,0
