,year,season,co2avg
0,2006,q1,156.105
1,2006,q2,69.95
2,2007,q1,108.8777966
3,2007,q2,55.12233333
4,2008,q1,122.5689394
5,2008,q2,44.95682927
6,2009,q1,106.3419444
7,2009,q2,34.8
8,2010,q1,91.13657143
9,2010,q2,53.97333333
