,year,season,Nminavg
0,2006,q1,133.5453333333333
1,2006,q2,18.003999999999998
2,2007,q1,64.98680000000002
3,2007,q2,24.541874999999997
4,2008,q1,57.97354838709677
5,2008,q2,21.236
6,2009,q1,17.365000000000002
7,2009,q2,4.345000000000001
