,year,season,co2avg
0,2006,q1,127.01500000000003
1,2006,q2,50.97777777777778
2,2007,q1,79.31233333333334
3,2007,q2,34.94266666666667
4,2008,q1,83.22666666666669
5,2008,q2,27.368095238095233
6,2009,q1,75.56305555555556
7,2009,q2,31.446111111111108
8,2010,q1,59.4790909090909
9,2010,q2,72.83
10,2011,q1,193.95566666666667
11,2012,q1,101.34472222222223
12,2012,q2,56.43333333333334
13,2013,q1,154.40125000000003
14,2013,q2,82.55
